GEOID,dist_type,store_rowid_p,dist,row,duration,mb_rank
13089021503,D3,54,22742.8023704043,343,35.32571666666667,MB3
13089021503,D4,118,29410.60364639005,344,36.86291666666667,MB4
13089021503,D5,9,31995.943025365927,345,38.43486666666667,MB5
13089021505,D1,10,6238.989819669987,1306,18.956683333333334,MB1
13089021505,D2,8,14262.156449405698,1307,28.995283333333337,MB2
13089021505,D3,54,21622.49641548946,1308,35.00848333333333,MB3
13089021505,D4,118,29532.600691132982,1309,35.3172,MB4
13089021505,D5,9,30893.47814993512,1310,38.11761666666666,MB5
13089021506,D1,10,7319.100490718934,1171,20.388250000000003,MB1
13089021506,D2,8,15526.11546463201,1172,30.42683333333333,MB2
13089021506,D4,118,28190.36002141003,1174,33.51768333333333,MB3
13089021506,D3,54,22387.366699078517,1173,36.440016666666665,MB4
13089021506,D5,9,31680.765239190965,1175,39.549150000000004,MB5
13089021602,D1,10,9173.978756213435,2701,19.690166666666666,MB1
13089021602,D2,8,17324.006074842997,2702,28.241416666666666,MB2
13089021602,D4,118,26662.862171227054,2704,32.22305,MB3
13089021602,D3,54,24139.369099786632,2703,35.476099999999995,MB4
13089021602,D5,9,33438.050121873464,2705,38.65755,MB5
13089021604,D1,10,9889.185228922597,401,18.49951666666667,MB1
13089021604,D2,8,17582.06397660054,402,27.05075,MB2
13089021604,D3,54,25275.121642278365,403,34.28546666666667,MB3
13089021604,D4,118,27247.130076368718,404,36.08781666666666,MB4
13089021604,D5,9,34555.80604276755,405,37.3946,MB5
13089021606,D1,10,8383.062391551292,1226,18.446866666666665,MB1
13089021606,D2,8,16042.01637898136,1227,26.9981,MB2
13089021606,D3,54,23874.393132091707,1228,34.232816666666665,MB3
13089021606,D4,118,28501.557365270666,1229,35.230133333333335,MB4
13089021606,D5,9,33139.63181853963,1230,37.34195,MB5
13089021607,D1,10,8321.058285300967,4601,15.773166666666667,MB1
13089021607,D2,8,15511.943226054265,4602,24.324366666666666,MB2
13089021607,D3,54,24005.416806178262,4603,31.5591,MB3
13089021607,D5,9,33225.68109936553,4605,34.66823333333333,MB4
13089021607,D4,118,29560.769892893684,4604,35.459950000000006,MB5
13089021608,D1,10,12125.173436491777,1116,19.142633333333333,MB1
13089021608,D2,8,19333.76903212342,1117,27.693883333333336,MB2
13089021608,D5,40,34764.00043800962,1120,28.51066666666667,MB3
