services,store_url,store_name,stradd,city,state,lat,long
Tobaco,https://www.familydollar.com/locations/ga/atlanta/22641/,FAMILY DOLLAR #2641,2522 Bouldercrest Rd Se,Atlanta,GA,33.688482,-84.309232
Tobaco,https://www.familydollar.com/locations/ga/atlanta/22678/,FAMILY DOLLAR #2678,5425 Riverdale Rd,Atlanta,GA,33.607316,-84.437716
Tobaco,https://www.familydollar.com/locations/ga/atlanta/24220/,FAMILY DOLLAR #4220,5638 Riverdale Rd,Atlanta,GA,33.601222,-84.427133
Tobaco,https://www.familydollar.com/locations/ga/atlanta/26030/,FAMILY DOLLAR #6030,2045 D L Hollowell Pkwy Nw,Atlanta,GA,33.7774,-84.45228
Tobaco,https://www.familydollar.com/locations/ga/atlanta/26151/,FAMILY DOLLAR #6151,3500 Martin Luther Kg Jr Dr Sw,Atlanta,GA,33.757318,-84.502896
Tobaco,https://www.familydollar.com/locations/ga/atlanta/20634/,FAMILY DOLLAR #634,3050 Martin Luther King Dr,Atlanta,GA,33.749715,-84.486808
Tobaco,https://www.familydollar.com/locations/ga/atlanta/26501/,FAMILY DOLLAR #6501,824 Donald L Hollowell Pkwy Nw,Atlanta,GA,33.772685,-84.414917
Tobaco,https://www.familydollar.com/locations/ga/atlanta/26509/,FAMILY DOLLAR #6509,565 Joseph E. Lowery Blvd. Sw,Atlanta,GA,33.739702,-84.418234
Tobaco,https://www.familydollar.com/locations/ga/atlanta/26611/,FAMILY DOLLAR #6611,"455 North Ave., Northeast",Atlanta,GA,33.770693,-84.372124
Tobaco,https://www.familydollar.com/locations/ga/atlanta/20716/,FAMILY DOLLAR #716,1410 Custer Avenue,Atlanta,GA,33.71881724,-84.34173342
Adult Beverage,https://www.familydollar.com/locations/ga/atlanta/20716/,FAMILY DOLLAR #716,1410 Custer Avenue,Atlanta,GA,33.71881724,-84.34173342
Tobaco,https://www.familydollar.com/locations/ga/atlanta/27189/,FAMILY DOLLAR #7189,1616 Virginia Ave,Atlanta,GA,33.658427,-84.442433
Tobaco,https://www.familydollar.com/locations/ga/atlanta/27253/,FAMILY DOLLAR #7253,2615 Donald Lee Hollowell Park,Atlanta,GA,33.77605595,-84.47191266
Tobaco,https://www.familydollar.com/locations/ga/atlanta/27463/,FAMILY DOLLAR #7463,2021 Flat Shoals Rd. Se,Atlanta,GA,33.725001,-84.321984
Adult Beverage,https://www.familydollar.com/locations/ga/atlanta/27463/,FAMILY DOLLAR #7463,2021 Flat Shoals Rd. Se,Atlanta,GA,33.725001,-84.321984
Propane,https://www.familydollar.com/locations/ga/atlanta/27463/,FAMILY DOLLAR #7463,2021 Flat Shoals Rd. Se,Atlanta,GA,33.725001,-84.321984
Tobaco,https://www.familydollar.com/locations/ga/atlanta/28385/,FAMILY DOLLAR #8385,6385 Old National Hwy,Atlanta,GA,33.581196,-84.472039
Tobaco,https://www.familydollar.com/locations/ga/atlanta/29097/,FAMILY DOLLAR #9097,2324 Cascade Rd.,Atlanta,GA,33.72178793,-84.46437117
Adult Beverage,https://www.familydollar.com/locations/ga/atlanta/29097/,FAMILY DOLLAR #9097,2324 Cascade Rd.,Atlanta,GA,33.72178793,-84.46437117
Tobaco,https://www.familydollar.com/locations/ga/augusta/31528/,FAMILY DOLLAR #11528,3764 Peach Orchard Road,Augusta,GA,33.35721,-82.04394854
Adult Beverage,https://www.familydollar.com/locations/ga/augusta/31528/,FAMILY DOLLAR #11528,3764 Peach Orchard Road,Augusta,GA,33.35721,-82.04394854
Propane,https://www.familydollar.com/locations/ga/augusta/31528/,FAMILY DOLLAR #11528,3764 Peach Orchard Road,Augusta,GA,33.35721,-82.04394854
Fresh Produce,https://www.familydollar.com/locations/ga/augusta/31528/,FAMILY DOLLAR #11528,3764 Peach Orchard Road,Augusta,GA,33.35721,-82.04394854
Tobaco,https://www.familydollar.com/locations/ga/augusta/31533/,FAMILY DOLLAR #11533,3211 Old Mcduffie Road,Augusta,GA,33.43516209,-82.08535318
Adult Beverage,https://www.familydollar.com/locations/ga/augusta/31533/,FAMILY DOLLAR #11533,3211 Old Mcduffie Road,Augusta,GA,33.43516209,-82.08535318
Propane,https://www.familydollar.com/locations/ga/augusta/31533/,FAMILY DOLLAR #11533,3211 Old Mcduffie Road,Augusta,GA,33.43516209,-82.08535318
Tobaco,https://www.familydollar.com/locations/ga/augusta/31567/,FAMILY DOLLAR #11567,1801 Kissingbower Road,Augusta,GA,33.45463887,-82.02213953
Adult Beverage,https://www.familydollar.com/locations/ga/augusta/31567/,FAMILY DOLLAR #11567,1801 Kissingbower Road,Augusta,GA,33.45463887,-82.02213953
Propane,https://www.familydollar.com/locations/ga/augusta/31567/,FAMILY DOLLAR #11567,1801 Kissingbower Road,Augusta,GA,33.45463887,-82.02213953
Tobaco,https://www.familydollar.com/locations/ga/augusta/20139/,FAMILY DOLLAR #139,2625 Deans Bridge Rd #7,Augusta,GA,33.44032,-82.023703
